,uid_archive,date,company_code,company,company_type,company_parent_code,company_parent,company_parent_country,sentiment,prominence,partnership,issue_code1,issue_name1,issue_code2,issue_name2,issue_code3,issue_name3,active_country_code1,active_country1,active_country_code2,active_country2,active_country_code3,active_country3,active_country_code4,active_country4,active_country_code5,active_country5,active_country_code6,active_country6,target_country_code1,target_country1,target_country_code2,target_country2,target_country_code3,target_country3,target_country_code4,target_country4,target_country_code5,target_country5,target_country_code6,target_country6,ngo_code1,ngo_name1,ngo_power1,ngo_country_code1,ngo_country1,ngo_code2,ngo_name2,ngo_power2,ngo_country_code2,ngo_country2,ngo_code3,ngo_name3,ngo_power3,ngo_country_code3,ngo_country3,ngo_code4,ngo_name4,ngo_power4,ngo_country_code4,ngo_country4,ngo_code5,ngo_name5,ngo_power5,ngo_country_code5,ngo_country5,country_code_corp,country_corp,corp_industry_sector_code1,corp_industry_sector1,corp_industry_sector_code2,corp_industry_sector2,corp_industry_sector_code3,corp_industry_sector3,isin_corporate_name_official,isin_corporate_name_cleaned,bloomberg_ticker,isin_1,isin_2,isin_3,industry_sector_code1,industry_sector1,industry_sector_code2,industry_sector2,industry_sector_code3,industry_sector3,industry_sector_code4,industry_sector4,report,link1,link2,link3,link4,link5
0,40883,2011-12-21,49,World Bank,Parent,49,World Bank,US,-1.0,2,0,3361,Mining - environmental impact,3782.0,Financial institutions funding mining,,,604,Peru,,,,,,,,,,,604,Peru,,,,,,,,,,,3890,Frente de Defensa Ambiental de Cajamarca,0.5,604,Peru,3891.0,Plataforma Interinstitucional Celendina Pic,0.5,604.0,Peru,,,,,,,,,,,,,,,,840,US,1336.0,Finance,,,,,,,,,,,1336.0,Finance,1311.0,Mining & Metals,,,,, environmental impact assessment of the controversial Conga gold and copper mine project to be conducted by experts (and specificallyexcluding the World Bank which they say is a shareholder in Minera Yanacocha).See (in Spanish),http://www.noticiasser.pe/16/12/2011/cajamarca/se-levanta-estado-de-emergencia-en-cajamarca-y-suspende-paro-del-dia-20  ,https://www.rainforest-rescue.org/mailalert/809/peru-uprising-against-gold,,,
1,40856,2011-12-16,568,Lloyds Banking Group plc,Parent,568,Lloyds Banking Group plc,UK,0.2295070621702406,3,0,3477,Regulation of financial institutions,4020.0,Citizens protest,,,826,UK,,,,,,,,,,,826,UK,,,,,,,,,,,3827,OccupyLSX,0.5,826,UK,,,,,,,,,,,,,,,,,,,,,826,UK,1336.0,Finance,,,,,Lloyds Banking Group PLC,Lloyds Banking  ,LLOYDS,GB0008706128,,,1336.0,Finance,,,,,,, would be there.</em><br />See,http://occupylsx.org/?p=2487,,,,
2,40833,2011-12-16,568,Lloyds Banking Group plc,Parent,568,Lloyds Banking Group plc,UK,-1.0,4,0,3477,Regulation of financial institutions,3812.0,Financial institutions & customer service,,,826,UK,,,,,,,,,,,826,UK,,,,,,,,,,,926,Which? (UK Consumers Association),1.0,826,UK,,,,,,,,,,,,,,,,,,,,,826,UK,1336.0,Finance,,,,,Lloyds Banking Group PLC,Lloyds Banking  ,LLOYDS,GB0008706128,,,1336.0,Finance,,,,,,,"In the UK, Which? welcomed the announcement by Lloyds Banking Group that the Co-operative Bank has been named as the preferred bidder for 620 Lloyds branches, including 60 Cheltenham & Gloucester branches acquired by Lloyds in 1997. The NGO claimed, however, that despite this disinvestment which is in response to an EU directive on state aid received by banks, Lloyds Banking group still has a dominant market position which could allow it to increase prices for consumers, and that unless there was a larger disinvestment, an early reference to the Competition Commission may be the only way of securing further improvements.<br />See",http://www.which.co.uk/news/2011/12/co-operative-bank-set-to-take-over-lloyds-branches-274516/,,,,
3,40833,2011-12-16,2509,Co-operative Bank plc,Subsidiary,604,Co-operative Group (UK),UK,2.0,4,0,3477,Regulation of financial institutions,3812.0,Financial institutions & customer service,,,826,UK,,,,,,,,,,,826,UK,,,,,,,,,,,926,Which? (UK Consumers Association),1.0,826,UK,,,,,,,,,,,,,,,,,,,,,826,UK,1336.0,Finance,,,,,,,,,,,1336.0,Finance,,,,,,,"In the UK, Which? welcomed the announcement by Lloyds Banking Group that the Co-operative Bank has been named as the preferred bidder for 620 Lloyds branches, including 60 Cheltenham & Gloucester branches acquired by Lloyds in 1997. The NGO claimed, however, that despite this disinvestment which is in response to an EU directive on state aid received by banks, Lloyds Banking group still has a dominant market position which could allow it to increase prices for consumers, and that unless there was a larger disinvestment, an early reference to the Competition Commission may be the only way of securing further improvements.<br />See",http://www.which.co.uk/news/2011/12/co-operative-bank-set-to-take-over-lloyds-branches-274516/,,,,
4,40829,2011-12-16,2067,RSA Insurance,Parent,2067,RSA Insurance,UK,0.0,4,1,3305,Wind energy,3823.0,Financial institutions funding low carbon energy,,,156,China,,,,,,,,,,,156,China,,,,,,,,,,,1780,WWF China,2.5,156,China,,,,,,,,,,,,,,,,,,,,,826,UK,1336.0,Finance,1431.0,Insurance,,,RSA Insurance Group PLC,RSA Insurance  ,RSALN,GB0006616899,,,1336.0,Finance,1427.0,Wind energy,,,,," published with the insurer RSA (Royal Sun Alliance),WWF claimed that more than 80% of domestic insurers and wind energy companies are not developing insurance products for the nearly 40,000 exiting turbines and a predicted increase of 10,000 per annum, although insurers play a significant role to mitigate risk, reduce financial costs and increase investments.<br />See (main pdf report in Chinese, executive summary in English)",http://www.wwfrsapartners.com/static/uploads/page_files/Chinese_version.pdf ,http://www.wwfrsapartners.com/static/uploads/page_files/Microsoft_Word_-_Wind_Energy_Insurance_in_China_Executive_summary_FINAL.pdf ,http://wwf.panda.org/wwf_news/?202839/Insurance-sector-key-to-China-meeting-renewable-energy-targets,,
5,40704,2011-12-09,167,Royal Bank of Scotland (RBS),Subsidiary,90,RBS Group,UK,-0.678131103515625,4,0,3477,Regulation of financial institutions,3812.0,Financial institutions & customer service,,,826,UK,,,,,,,,,,,826,UK,,,,,,,,,,,269,Consumer Focus,1.0,826,UK,,,,,,,,,,,,,,,,,,,,,826,UK,1336.0,Finance,,,,,,,,,,,1336.0,Finance,,,,,,,"In the UK, Consumer Focus (CF) claimed that restrictions on basic bank accounts will discourage the poorest and most vulnerable from using bank accounts. It singled out for criticismBarclays, which CF claims is tripling the maximum daily charge for paying direct debits on insufficient funds, and RBS for limit basic account holders to only using RBS ATMs. CF repeated its claim that bank accounts are often essential for people to receive employment pay and to access cheaper deals from utilities and internet services. It called on the banking regulator to impose minimum standards for basic accounts, including linked ATMs and Post Office access, and a limit on overdraft penalty fees.<br />See",http://www.consumerfocus.org.uk/news/changes-risk-pushing-vulnerable-customers-out-of-banking-system-%E2%80%93-warns-watchdog,,,,
6,40704,2011-12-09,364,Barclays Bank,Parent,364,Barclays Bank,UK,-0.678131103515625,4,0,3477,Regulation of financial institutions,3812.0,Financial institutions & customer service,,,826,UK,,,,,,,,,,,826,UK,,,,,,,,,,,269,Consumer Focus,1.0,826,UK,,,,,,,,,,,,,,,,,,,,,826,UK,1336.0,Finance,,,,,Barclays PLC,Barclays  ,BACR,GB0031348658,,,1336.0,Finance,,,,,,,"In the UK, Consumer Focus (CF) claimed that restrictions on basic bank accounts will discourage the poorest and most vulnerable from using bank accounts. It singled out for criticismBarclays, which CF claims is tripling the maximum daily charge for paying direct debits on insufficient funds, and RBS for limit basic account holders to only using RBS ATMs. CF repeated its claim that bank accounts are often essential for people to receive employment pay and to access cheaper deals from utilities and internet services. It called on the banking regulator to impose minimum standards for basic accounts, including linked ATMs and Post Office access, and a limit on overdraft penalty fees.<br />See",http://www.consumerfocus.org.uk/news/changes-risk-pushing-vulnerable-customers-out-of-banking-system-%E2%80%93-warns-watchdog,,,,
7,40697,2011-12-09,49,World Bank,Parent,49,World Bank,US,-1.9396847486495967,4,0,3310,"Financial institutions & carbon, divestment",3522.0,"World Bank, IMF & financial MLAs",,,710,South Africa,,,,,,,,,,,710,South Africa,840.0,US,,,,,,,,,1885,groundWork / FoE South Africa,2.5,710,South Africa,1775.0,Earthlife Africa,2.0,710.0,South Africa,,,,,,,,,,,,,,,,840,US,1336.0,Finance,,,,,,,,,,,1336.0,Finance,1325.0,Power generation,1324.0,Coal,,,"In South Africa, Earthlife Africa and groundWork with Sierra Club, and CIEL, claimed that a leaked document demonstrated that the World Bank had failed to consider significant environmental, social and climate impacts associated its controversial 3.75 billion dollar loan in 2010 to Eskom to build the Medupi coal fired power plant. The NGOs claimed that the bank had failed to address concerns from local communities about alleged illegal sand mining for construction from the local river and had ignored the impact of CO2 emissions resulting from the project.<br /><em>SIGWATCH comment: ENGOs in the U.S., Europe, South Africa mounted an intense but ultimately unsuccessful lobbying campaign in 2010 to try to stop the World Bank authorising the loan. The issue continues to blight ENGO views of the World Bank and was one of the reasons NGOs did not want the Bank administering the Climate Fund for developing countries.</em><br />See",http://www.mediafire.com/?bb2is249gm4idbw,http://www.groundwork.org.za/Press%20Releases/COP17/07DEc11LeakedWorldBankReport.html,,,
8,40688,2011-12-09,1284,BlackRock,Parent,1284,BlackRock,US,-1.9981422424316408,4,0,3371,Animals in biomedical research & training,3634.0,Financial institutions funding animal research,,,840,US,,,,,,,,,,,826,UK,840.0,US,,,,,,,,,3971,Occupiers for Animals,1.0,840,US,,,,,,,,,,,,,,,,,,,,,840,US,1336.0,Finance,1423.0,Professional services,,,BlackRock Inc,BlackRock ,BLK,US09247X1019,,,1336.0,Finance,1340.0,Pharmaceuticals,,,,,.<br />See,http://www.shac.net/news/2011/december/2.html,,,,
9,40622,2011-12-06,167,Royal Bank of Scotland (RBS),Subsidiary,90,RBS Group,UK,-2.0,3,0,3309,"Tax havens, avoidance & financial transparency",3780.0,Overly low tax rates for multinationals,,,826,UK,,,,,,,,,,,826,UK,,,,,,,,,,,2575,UK Uncut,1.0,826,UK,,,,,,,,,,,,,,,,,,,,,826,UK,1336.0,Finance,,,,,,,,,,,1336.0,Finance,1322.0,Retail,1320.0,"Electronics, Telecoms & Digital",,,"In the UK, the political activists UK Uncut are urging supporters to nominate a store or bank to be the target for direct action protests on Dec 17. UK Uncut is planning to use the day to protest against government cuts in services and reduced taxes for businesses and banks. The shortlst of targets currently being promoted by the group includes Vodafone, Boots, Barclays, HSBC, RBS, and Lloyds/Halifax but the frontrunner is Arcadia Group and its retail brands TopShop, Dorothy Perkins and Miss Selfridges.<br /><em>SIGWATCH comment: Arcadia has been a target of previous direct action protests which involve blockading stores to prevent them trading. As before, Uncut has timed its disruption for a saturday, and this time on perhaps the most important trading day before Christmas.</em><br />See",http://www.facebook.com/questions/271720999542502/?qa_ref=ssp,http://www.ukuncut.org.uk/blog/christmas-special,,,
